City,State,Property Type,Bedrooms,Bathrooms,Price (USD),Square Feet,Availability,Walk Score,Property Rating,Street Address,Property Name,Availability Date
Philadelphia,Pennsylvania,Condo,3,3,8563.1,790,Available,50,3.3,56023 Esparza Keys Apt. 282,Williams LLC Apartments,2025-03-08
Pittsburgh,Pennsylvania,Apartment,1,3,4710.29,2126,Not Available,79,4.4,965 Simon Landing Apt. 000,Smith-Miller Apartments,2025-09-20
San Francisco,California,House,1,1,4200.92,692,Available,56,3.6,2900 Mckee Springs,Walls-Velazquez Apartments,2025-06-16
NYC,New York,Apartment,3,2,10808.62,648,Not Available,100,2.9,41025 Dennis Route Suite 779,"Garza, Jordan and Cochran Apartments",2025-01-09
Buffalo,New York,Condo,3,1,8660.62,2077,Available,81,4.5,3569 Chelsea Underpass,"Gonzalez, Chambers and Alexander Apartments",2024-08-03
Dallas,Texas,House,4,1,13617.23,1281,Available,65,3.7,526 Debra Harbor Apt. 468,Davis-Randall Apartments,2024-08-26
Albany,New York,House,2,1,8079.77,656,Not Available,30,3.0,13798 Torres Mount Apt. 946,"Martin, Estrada and Johnson Apartments",2024-04-08
San Francisco,California,Townhouse,1,1,2046.31,1388,Not Available,83,2.7,72672 Li Dam,Lester Ltd Apartments,2026-02-03
Chicago,Illinois,Condo,1,1,1615.9,1167,Available,60,4.3,0727 Chelsea Rest Apt. 416,Bradley-Trujillo Apartments,2025-07-15
Chicago,Illinois,House,4,3,14179.73,1271,Available,33,4.0,0687 Brown Ways,Davis-Williams Apartments,2025-10-09
Atlanta,Georgia,Apartment,3,2,8725.09,2333,Not Available,49,4.8,84212 Davis Ferry,Moore-Brown Apartments,2025-08-27
Miami,Florida,House,2,2,4062.69,2377,Not Available,53,3.7,49384 Owens Summit,Livingston-Howard Apartments,2025-07-04
Philadelphia,Pennsylvania,House,3,3,9172.96,1703,Not Available,65,2.7,6928 Oliver Hill,"Stone, Taylor and Velazquez Apartments",2024-04-29
Albany,New York,Apartment,2,2,2064.02,773,Not Available,54,2.7,07632 Andrew Manor Apt. 469,Ford-Goodwin Apartments,2025-09-15
Dallas,Texas,House,2,1,2696.51,1381,Not Available,76,4.3,519 Murillo Ports,"Stewart, Lewis and Mcdaniel Apartments",2025-01-30
Austin,Texas,Condo,3,2,7348.8,853,Available,94,4.2,977 Sampson Fort Suite 987,Anderson and Sons Apartments,2025-02-16
San Diego,California,Condo,1,3,4341.03,1304,Available,81,3.8,6488 Erika Via,Fields-Nguyen Apartments,2025-08-24
NYC,New York,House,1,1,3065.02,1667,Not Available,41,4.1,5490 Carter Glen,Soto Group Apartments,2024-10-04
Tampa,Florida,Townhouse,3,1,14491.5,1055,Not Available,40,4.0,056 Ibarra Mall Suite 240,"Burch, May and Richard Apartments",2025-10-15
Austin,Texas,House,4,3,12438.74,1171,Not Available,43,3.5,103 Jacob Plain Suite 710,"Parker, Vargas and Zavala Apartments",2025-02-17
Pittsburgh,Pennsylvania,House,3,3,10147.09,1361,Not Available,67,3.0,2062 Jenkins Well,"Thompson, Chapman and Gross Apartments",2026-02-24
Dallas,Texas,House,4,1,11464.45,1821,Available,69,5.0,930 James Walks,Meyer Inc Apartments,2025-05-10
Buffalo,New York,Condo,1,1,1849.37,2017,Available,75,4.2,5539 Allen Plains Suite 297,Yang-White Apartments,2025-10-30
Buffalo,New York,Condo,1,2,4064.83,1693,Available,75,3.8,7301 Daniel Row Suite 434,Moran Ltd Apartments,2025-04-05
Los Angeles,California,House,1,3,4319.89,973,Not Available,97,3.6,255 Mccoy Road,Ramos Ltd Apartments,2025-08-22
Dallas,Texas,House,4,1,16612.89,1790,Available,64,3.5,0542 Michael Trafficway Suite 136,Romero-Nelson Apartments,2025-02-09
Buffalo,New York,House,3,3,8693.28,1576,Not Available,44,2.7,726 Lindsay Turnpike Apt. 974,Higgins Ltd Apartments,2024-10-15
NYC,New York,Condo,3,3,7555.27,1967,Not Available,78,2.5,69235 Wilkins Fords Suite 788,Dillon LLC Apartments,2025-03-25
Miami,Florida,Townhouse,1,3,3385.58,2188,Available,71,4.9,35687 Mcdonald Villages Apt. 256,Rubio-Taylor Apartments,2025-11-18
Dallas,Texas,Townhouse,3,2,13684.64,2340,Not Available,57,3.0,4831 Tyrone Spur,"Malone, Adams and Phillips Apartments",2025-10-21
Chicago,Illinois,Condo,1,3,4179.75,1795,Not Available,50,3.7,5807 Guerra Forge,"Liu, Rodriguez and Young Apartments",2024-08-06
Dallas,Texas,Condo,3,3,12979.27,919,Available,46,2.7,0977 Kathy Isle,Willis-Cross Apartments,2025-12-09
Atlanta,Georgia,Condo,2,1,6644.42,2065,Not Available,36,4.0,481 Thomas Rue,"Taylor, Williams and Rose Apartments",2024-09-18
Chicago,Illinois,Apartment,2,2,5240.69,2036,Not Available,43,3.8,53612 Robert Park,Davis Inc Apartments,2024-04-23
Dallas,Texas,Apartment,2,3,9133.62,914,Available,59,2.5,329 Stewart Light,"Young, Nichols and Reed Apartments",2024-09-28
Austin,Texas,House,2,3,5664.88,1703,Available,58,3.2,8865 Carrillo Stravenue,Lewis-Mitchell Apartments,2025-06-26
Tampa,Florida,Condo,2,3,4173.55,1632,Available,92,3.0,468 Kennedy Burg Apt. 473,"Villegas, Sanford and Martinez Apartments",2026-03-23
Miami,Florida,House,2,1,8954.38,731,Not Available,88,4.6,76786 Cox Views,Higgins PLC Apartments,2025-01-10
Miami,Florida,House,2,3,7241.83,1165,Not Available,65,2.5,8089 Guerra Burgs Suite 219,Allen Ltd Apartments,2025-08-19
Albany,New York,Townhouse,2,3,9306.09,1582,Available,93,2.7,8040 Latoya Islands Suite 400,Miles Inc Apartments,2025-03-05
Los Angeles,California,Townhouse,3,3,5083.31,2178,Not Available,60,4.1,903 Alyssa Road Apt. 090,Bailey-Wright Apartments,2025-08-28
San Francisco,California,Apartment,1,1,4064.3,1963,Not Available,40,4.0,285 Henson Unions,Robertson-Cunningham Apartments,2025-06-30
Miami,Florida,Apartment,4,2,8156.98,762,Not Available,91,2.7,0238 Katherine Gardens Apt. 501,Lewis Group Apartments,2024-07-24
Austin,Texas,Condo,3,1,6264.51,1636,Not Available,80,2.5,225 Green Heights Suite 055,"Lopez, Durham and Smith Apartments",2025-08-20
Austin,Texas,Townhouse,3,1,6084.97,1781,Not Available,99,2.7,58059 Debra Center,Cochran Inc Apartments,2024-08-18
Dallas,Texas,House,3,3,14727.2,892,Not Available,85,3.9,4118 Bruce Prairie Apt. 213,Kelly and Sons Apartments,2026-01-29
Austin,Texas,Apartment,2,3,9555.93,1097,Not Available,59,5.0,665 Donna Place Apt. 043,Johnson-Rodriguez Apartments,2025-02-18
Dallas,Texas,Apartment,2,1,5384.59,2305,Not Available,73,3.9,858 Randall Manor,Ball Group Apartments,2025-03-17
Buffalo,New York,Townhouse,1,2,1443.58,2071,Not Available,97,4.7,36709 Hernandez Green,Spencer Group Apartments,2025-08-23
Los Angeles,California,House,3,3,14499.25,2239,Available,53,4.1,7589 Nash Avenue,Obrien Ltd Apartments,2025-01-23
Los Angeles,California,House,3,1,12797.48,1737,Not Available,89,3.9,27827 Roy Keys,Clay-Garcia Apartments,2025-01-26
Los Angeles,California,Apartment,2,2,2359.77,1447,Available,79,2.6,92436 Richards Prairie,Frye-Simmons Apartments,2026-02-22
Atlanta,Georgia,House,2,2,7839.24,1935,Available,80,2.6,64245 Turner Freeway,Noble PLC Apartments,2024-07-22
Pittsburgh,Pennsylvania,House,4,1,14175.61,1668,Not Available,61,3.7,087 Natalie Forge Suite 898,Calhoun Ltd Apartments,2024-10-10
Orlando,Florida,House,1,3,2707.84,1541,Not Available,64,3.2,519 Janice Summit,Michael-Williams Apartments,2025-04-01
Buffalo,New York,House,3,1,11243.34,667,Available,72,2.7,078 Aaron Causeway Suite 533,Fields Group Apartments,2025-06-17
San Diego,California,House,3,3,5226.17,1536,Not Available,59,4.7,6139 Woods Plaza Apt. 337,Sanchez-Knight Apartments,2025-09-11
Philadelphia,Pennsylvania,Condo,2,1,2062.75,2061,Available,42,2.5,217 Hines Locks,"Buckley, Wiley and Snyder Apartments",2024-04-16
Tampa,Florida,Apartment,3,2,11169.11,2312,Not Available,68,4.0,29006 Fisher Inlet Apt. 112,Carter and Sons Apartments,2024-08-29
NYC,New York,Apartment,2,2,9861.84,1526,Available,90,2.7,201 Michael Locks,"Fields, Rose and Crawford Apartments",2026-02-26
Buffalo,New York,Townhouse,4,2,10324.17,1063,Available,70,3.6,872 Parks Village Apt. 753,"Liu, Hernandez and Tucker Apartments",2024-09-26
Atlanta,Georgia,House,3,2,8417.29,1121,Available,96,2.7,3264 Henderson Causeway,Hill PLC Apartments,2024-12-06
Austin,Texas,Townhouse,3,3,4087.11,2307,Not Available,36,4.3,2207 Williams Lock,"Sanchez, Gaines and Larsen Apartments",2025-03-28
Dallas,Texas,Apartment,4,2,19056.31,2087,Available,89,3.3,66450 Christopher Mountain,Drake-Smith Apartments,2025-06-14
Albany,New York,Apartment,1,1,4441.79,1802,Available,98,5.0,733 Keith Trail,"Thompson, Adams and Howard Apartments",2025-11-21
Miami,Florida,House,3,2,5714.77,825,Not Available,85,3.8,82898 Walters Stream,"Dickerson, Lutz and Vincent Apartments",2024-08-21
Tampa,Florida,House,2,1,9146.28,877,Available,71,4.4,4513 Hector Crossroad,Townsend Ltd Apartments,2025-02-26
Los Angeles,California,Townhouse,4,1,10022.37,715,Not Available,84,4.7,83541 Jennifer Plains Suite 969,Cannon-Bray Apartments,2025-08-16
San Francisco,California,House,4,2,9917.25,1332,Not Available,35,3.3,3981 Jimmy Camp,"Mccoy, Cooper and Flores Apartments",2026-03-12
Orlando,Florida,Condo,1,1,4929.42,1239,Available,73,4.3,236 Knox Plaza Suite 184,Taylor-Young Apartments,2026-03-09
Chicago,Illinois,House,3,1,5190.79,1921,Available,90,2.7,3843 Jeffrey Corners,Robinson Group Apartments,2024-05-30
Dallas,Texas,Townhouse,4,2,6074.93,2441,Available,69,3.0,2048 Saunders Terrace Apt. 868,"Flowers, Swanson and Gregory Apartments",2024-09-13
Los Angeles,California,House,4,2,9216.13,1455,Not Available,79,4.4,38472 Nicole Inlet Apt. 892,Barrett PLC Apartments,2024-05-11
San Diego,California,Apartment,3,3,11835.38,700,Available,30,2.9,5756 Long Tunnel Suite 407,"Johnson, Rose and Robinson Apartments",2024-07-08
Austin,Texas,Condo,3,1,3066.67,1985,Not Available,90,4.4,4403 Anderson Roads Suite 122,Shannon and Sons Apartments,2025-07-26
Tampa,Florida,Condo,2,2,3190.73,754,Not Available,84,4.4,7860 Erica Plaza,"Powers, Nelson and Cruz Apartments",2024-12-15
Albany,New York,Condo,4,1,12268.35,865,Available,36,4.0,60743 Clark Rapids,Hamilton-Robinson Apartments,2026-03-21
Buffalo,New York,Condo,1,1,2252.13,2079,Available,88,4.0,3147 George Key Apt. 786,Smith-Turner Apartments,2026-03-21
San Francisco,California,Townhouse,3,3,4333.85,1409,Not Available,80,5.0,80299 Tiffany Rest,"Barton, Chaney and Cox Apartments",2024-11-10
Orlando,Florida,House,2,3,3541.57,702,Not Available,43,3.7,381 Benjamin Stream,"Davis, Gonzales and Rhodes Apartments",2024-05-12
Los Angeles,California,Townhouse,3,1,9354.82,1759,Available,50,3.3,557 Brooke Ways Suite 502,Gray LLC Apartments,2026-03-14
Atlanta,Georgia,Condo,3,2,11674.14,969,Not Available,77,3.4,44903 Dennis Well,"Smith, Greene and Carroll Apartments",2025-05-14
San Francisco,California,Condo,3,3,5753.26,1063,Available,80,4.4,3705 Deanna Corner Suite 173,Holmes LLC Apartments,2025-02-15
NYC,New York,Townhouse,1,2,3016.1,1780,Not Available,53,4.1,112 Neal Summit,Johnson-Robinson Apartments,2025-12-29
Atlanta,Georgia,Apartment,1,3,2875.02,788,Not Available,37,4.6,07421 Dana Hills Suite 933,Ponce Ltd Apartments,2026-03-09
Miami,Florida,House,1,1,4077.1,2292,Not Available,85,4.6,2142 Petersen Branch,Drake PLC Apartments,2024-04-23
Chicago,Illinois,Apartment,2,3,2074.01,1738,Not Available,42,3.0,7451 Sellers Fort,Zimmerman Ltd Apartments,2024-04-23
Los Angeles,California,Condo,4,3,8842.07,1280,Not Available,78,3.7,0535 Morris Square,"Hart, Johnson and Russell Apartments",2025-08-23
Orlando,Florida,Apartment,4,1,11608.99,1845,Available,40,4.5,573 Campos Motorway Apt. 184,"Valencia, Nguyen and Young Apartments",2025-01-06
Tampa,Florida,Townhouse,4,3,18184.03,1600,Available,36,4.5,6582 Diana Knoll Apt. 860,Edwards LLC Apartments,2026-04-04
Tampa,Florida,Townhouse,3,3,8313.4,663,Not Available,31,4.7,30434 Odom Springs,Rivera-Hale Apartments,2024-04-14
Houston,Texas,Townhouse,3,3,9726.83,1176,Available,52,4.0,27043 Martin Station,Perry-Cortez Apartments,2025-10-05
Chicago,Illinois,Apartment,4,2,6511.03,1789,Available,34,4.8,534 Karen Avenue,Kim-Estrada Apartments,2026-03-04
Los Angeles,California,Apartment,1,3,1766.49,2200,Not Available,80,2.6,6413 Miller Village,Hoffman and Sons Apartments,2024-07-27
Orlando,Florida,Condo,4,3,9454.9,987,Available,47,3.8,9039 Snyder Lodge Suite 034,"Peterson, Lang and Beck Apartments",2026-01-03
Orlando,Florida,Townhouse,4,3,4967.74,1120,Available,78,2.9,971 Craig Village Suite 697,Wagner-Garcia Apartments,2024-07-14
Austin,Texas,Condo,3,2,6021.58,1917,Not Available,59,4.0,686 Stephanie Green,Johnson-Rodriguez Apartments,2025-07-19
Houston,Texas,Townhouse,2,1,9702.18,2066,Available,39,3.7,99219 Rivera Plaza,Vargas Group Apartments,2025-10-15
Chicago,Illinois,Condo,3,1,5897.51,1484,Available,87,3.2,42635 Charles Stravenue Suite 885,Sanchez-Roberts Apartments,2024-04-26
Tampa,Florida,House,4,2,6915.89,1507,Not Available,46,4.7,012 Harrison Stravenue,Garcia PLC Apartments,2024-10-12
Houston,Texas,House,3,2,9517.81,2314,Not Available,46,3.5,24770 Clark Squares,"Hunt, Macdonald and Thomas Apartments",2024-10-22
Austin,Texas,House,4,2,12217.31,862,Not Available,89,2.8,3967 William Drive,Morris LLC Apartments,2025-08-07
San Diego,California,Condo,1,1,4041.76,1163,Available,64,4.0,51039 Oliver Ways,Foster-Monroe Apartments,2024-12-17
Buffalo,New York,Condo,1,1,3477.47,1829,Not Available,91,4.3,0139 Stephanie Turnpike,"Tapia, Roy and Hunt Apartments",2025-10-23
Houston,Texas,Condo,3,2,14648.9,2395,Not Available,79,2.8,11728 Daniel Landing Suite 297,"Schultz, Young and Saunders Apartments",2025-05-16
Buffalo,New York,Townhouse,2,1,9528.73,2434,Available,80,3.9,408 Smith Views,"Dawson, Martin and Ellis Apartments",2025-06-11
Buffalo,New York,Townhouse,3,3,14063.5,1577,Available,82,4.8,3484 Sarah Crescent Apt. 596,Bishop Inc Apartments,2026-03-10
Pittsburgh,Pennsylvania,Apartment,3,3,13562.65,1669,Not Available,85,4.1,127 Miranda Spurs,"Morales, Evans and Cox Apartments",2025-02-23
NYC,New York,House,1,3,1818.17,2500,Available,75,2.7,9552 Tanya Club Apt. 996,"Green, Turner and Roman Apartments",2024-05-26
San Diego,California,Condo,2,1,5993.21,1902,Available,100,2.9,970 Matthew Locks Suite 790,"Sanders, Hayes and Brown Apartments",2025-03-14
Tampa,Florida,Apartment,2,1,2794.98,1074,Available,63,4.6,4741 Hall Mountain Apt. 567,"Bishop, Liu and Walker Apartments",2025-06-08
NYC,New York,Condo,2,2,2737.03,1072,Not Available,56,3.4,6505 West Turnpike Suite 009,Strickland Group Apartments,2024-10-26
Austin,Texas,Condo,2,3,6714.01,1250,Available,72,2.6,66368 Sue Springs,Hernandez Inc Apartments,2025-01-31
Pittsburgh,Pennsylvania,Apartment,2,2,9781.26,2098,Not Available,77,3.4,63009 Karen Fields Suite 874,"Smith, Jordan and Gonzalez Apartments",2025-06-21
Orlando,Florida,House,1,1,4274.08,763,Available,93,4.8,0242 Rachel Forks Suite 340,"Reese, Jackson and Galvan Apartments",2024-05-16
Los Angeles,California,Condo,1,1,2158.49,1467,Not Available,82,3.2,661 Morgan Wells,Robinson-Suarez Apartments,2025-03-15
Los Angeles,California,Condo,4,1,19639.59,1889,Not Available,79,3.2,540 Juan Road,Roberson LLC Apartments,2024-06-29
Philadelphia,Pennsylvania,Townhouse,2,1,7205.24,1119,Available,59,2.9,247 Dylan Skyway,Sanford LLC Apartments,2025-12-17
San Diego,California,House,1,3,3616.97,853,Not Available,35,3.8,54874 Mckee Terrace Apt. 995,Allen-Wilson Apartments,2025-02-03
San Diego,California,Condo,2,1,7642.65,1690,Not Available,53,5.0,9148 Ruth Haven,Martin and Sons Apartments,2024-05-02
Buffalo,New York,Condo,3,3,3819.14,2081,Available,81,4.6,92969 Wang Burgs,Cline Group Apartments,2025-05-10
Tampa,Florida,Townhouse,1,1,3422.86,1462,Not Available,96,4.6,64799 Joseph Harbor,Jacobson-Lee Apartments,2024-07-28
Tampa,Florida,House,3,2,8214.2,1474,Not Available,82,3.5,7845 Curtis Valleys,Morton-Price Apartments,2025-11-23
Albany,New York,Townhouse,4,2,5380.38,1444,Available,90,4.0,93271 Kevin Spurs,"Atkinson, Vasquez and Murillo Apartments",2025-01-03
San Francisco,California,Apartment,3,2,14477.15,1583,Not Available,85,4.8,2790 Marie Mountains Apt. 249,Cortez Inc Apartments,2025-09-18
San Francisco,California,Townhouse,1,1,4565.66,853,Available,83,2.9,1293 Heather Villages Apt. 553,Parsons-Lee Apartments,2025-04-30
Miami,Florida,Apartment,1,3,2270.11,2291,Not Available,43,3.4,20194 Robert Row,Parsons-Mcguire Apartments,2025-03-23
Dallas,Texas,House,4,2,13717.83,771,Available,72,4.3,3033 Robertson Locks,Ortiz PLC Apartments,2025-03-06
NYC,New York,Condo,3,1,13141.38,1543,Available,89,4.6,48014 David Center Apt. 691,Robinson and Sons Apartments,2026-03-18
Pittsburgh,Pennsylvania,Apartment,3,1,11286.19,2090,Available,76,3.1,604 Brittany Coves Apt. 392,Crane-Martin Apartments,2024-04-30
San Francisco,California,Apartment,3,1,3787.51,2431,Available,41,3.3,30690 Thompson Route Apt. 948,Carlson LLC Apartments,2025-01-31
Miami,Florida,Townhouse,3,2,3242.91,1686,Not Available,63,3.7,4516 Lane Summit Apt. 244,Moore Inc Apartments,2024-07-02
Atlanta,Georgia,House,3,2,7571.35,1200,Not Available,61,3.3,2745 Brian Centers Apt. 346,"Morrison, Scott and Walton Apartments",2024-11-08
NYC,New York,House,2,3,2293.17,2429,Not Available,91,5.0,029 Randy Dam Apt. 908,Barrera Group Apartments,2024-11-03
Albany,New York,Condo,2,3,8107.27,2166,Not Available,37,3.3,01902 Jamie Creek,"Jones, Moore and Wilson Apartments",2024-04-10
NYC,New York,House,3,3,3737.22,1670,Not Available,97,2.6,08924 Jermaine Mall Suite 467,Walsh PLC Apartments,2025-04-14
Chicago,Illinois,Townhouse,2,1,4415.57,841,Available,52,2.5,5322 Maddox Field,"Osborne, Blake and Smith Apartments",2024-11-03
Los Angeles,California,Condo,2,3,4390.82,1544,Available,33,3.8,3255 Alvarez Turnpike,Gray-Doyle Apartments,2025-05-20
Philadelphia,Pennsylvania,Townhouse,2,1,8761.9,2167,Not Available,49,3.6,24121 Maldonado Estate,"Williams, Hill and Wiggins Apartments",2025-07-08
Pittsburgh,Pennsylvania,Townhouse,4,1,14465.89,1846,Available,89,2.6,61904 Tammy Grove,Munoz LLC Apartments,2025-05-17
Miami,Florida,House,1,1,4335.66,2431,Not Available,66,3.5,59098 Gibson Prairie,Taylor LLC Apartments,2024-05-27
Atlanta,Georgia,Apartment,2,3,6733.07,1040,Not Available,81,2.8,8076 Campbell Locks Suite 858,"Flores, Brown and Shelton Apartments",2025-06-03
Tampa,Florida,Townhouse,1,2,3509.81,986,Available,98,2.5,585 Amanda Via Apt. 673,"Aguilar, Clark and Bowen Apartments",2024-11-01
San Diego,California,Condo,2,3,8920.58,2081,Not Available,34,3.2,8673 Stephanie Manor Suite 658,Ford PLC Apartments,2025-04-06
Miami,Florida,Apartment,1,3,4168.72,915,Available,46,4.2,0049 Jillian Causeway,Byrd Ltd Apartments,2024-04-19
Dallas,Texas,Townhouse,3,3,12556.55,1715,Not Available,54,4.5,06138 Dawn Locks Suite 680,Hays LLC Apartments,2024-07-10
Miami,Florida,Condo,3,3,6321.67,995,Available,38,4.1,8638 Garcia Rapid,Williams and Sons Apartments,2025-02-23
Tampa,Florida,Townhouse,3,2,8866.33,1035,Available,93,3.9,810 Harris Islands Suite 642,"Wilson, Johnson and Reynolds Apartments",2025-10-05
Orlando,Florida,Townhouse,1,3,4860.23,1602,Available,92,3.5,732 Kyle Motorway,"Mora, Anderson and Mcdonald Apartments",2024-12-07
San Diego,California,Apartment,4,2,17549.53,654,Not Available,54,2.7,56344 Jennifer Cove Suite 699,Swanson-Moody Apartments,2025-08-03
Los Angeles,California,Condo,1,1,1090.26,2294,Not Available,58,2.7,70303 Virginia Pine,"Hall, Lee and Brooks Apartments",2025-01-11
Philadelphia,Pennsylvania,Apartment,1,3,1710.36,687,Available,56,3.9,7358 Charles Fields Apt. 268,"Rivera, Martin and Kennedy Apartments",2025-04-03
San Diego,California,Apartment,4,2,15347.8,947,Not Available,75,3.5,5649 Yang Glens Apt. 691,"Miller, Ramirez and Jarvis Apartments",2026-02-17
San Diego,California,Condo,3,3,11435.58,2500,Available,66,3.4,158 Megan Ports Suite 334,Clark-Reyes Apartments,2024-09-18
Dallas,Texas,Condo,3,1,6616.16,2253,Not Available,36,4.7,75527 Stokes Views,Robinson and Sons Apartments,2025-04-02
Austin,Texas,Condo,3,3,4829.88,963,Not Available,77,3.1,7181 Flores Village,"Alvarez, Wood and Paul Apartments",2024-09-18
Tampa,Florida,Condo,2,2,3956.06,2405,Not Available,58,4.1,779 Catherine Extension Apt. 899,Simpson Group Apartments,2025-09-12
Chicago,Illinois,Townhouse,3,3,9255.08,2065,Not Available,69,4.5,0981 Jeffrey Villages Apt. 580,"Morgan, Campos and Hicks Apartments",2025-08-28
Albany,New York,Condo,1,3,2914.68,1899,Available,55,3.3,56714 Craig River Apt. 390,"Holt, Moore and Oneal Apartments",2024-10-01
Orlando,Florida,Townhouse,1,1,1405.54,1256,Not Available,77,4.4,669 Harrison Parks,Anderson-Jones Apartments,2024-12-19
Los Angeles,California,Townhouse,1,3,1659.15,2092,Not Available,51,4.8,844 Lopez Center,Graham-Evans Apartments,2025-05-27
Los Angeles,California,Townhouse,4,2,13539.16,1537,Available,94,3.0,349 Janet Viaduct Apt. 273,"Walker, Ware and Byrd Apartments",2024-12-11
San Francisco,California,Apartment,1,1,3636.45,1703,Not Available,73,4.6,599 Shawn Turnpike Suite 191,Mayer-Parker Apartments,2025-02-11
Orlando,Florida,House,4,2,11250.52,1084,Available,36,3.6,447 Lori Plains,Berry Ltd Apartments,2024-07-16
Dallas,Texas,Townhouse,4,1,8487.73,1331,Not Available,100,4.2,8921 Eduardo Manor Suite 934,"Leonard, Williams and Hopkins Apartments",2024-12-19
Tampa,Florida,Condo,1,1,2931.41,1793,Not Available,47,4.3,8998 Felicia Extension,"Turner, Santana and Wilson Apartments",2024-04-20
Buffalo,New York,House,4,3,7292.06,1220,Not Available,70,4.2,7295 Prince Mission Apt. 240,"Acevedo, Taylor and Molina Apartments",2025-03-21
Miami,Florida,House,4,3,4502.39,2075,Available,32,2.7,089 Emily Centers,Adams-Lam Apartments,2025-07-08
Buffalo,New York,Condo,2,1,2265.84,2423,Available,53,3.6,3182 Weaver Crossroad Apt. 464,"Brown, Petersen and Rogers Apartments",2024-09-29
Philadelphia,Pennsylvania,Townhouse,4,1,17620.8,2351,Not Available,73,4.7,170 Bailey Shores Apt. 576,"Hernandez, Guerrero and Peters Apartments",2024-12-21
Atlanta,Georgia,Townhouse,3,3,9162.77,1487,Not Available,31,3.6,637 Henson Rapids Suite 873,Kaiser LLC Apartments,2024-05-11
San Diego,California,Townhouse,4,1,17108.6,777,Not Available,86,4.0,237 Madison Prairie,Romero-Williams Apartments,2025-09-02
Austin,Texas,Townhouse,1,3,4852.27,1487,Not Available,83,4.8,86413 Michael Hill,Blackburn Ltd Apartments,2026-03-06
Los Angeles,California,Apartment,3,2,12859.62,1585,Available,97,2.7,78195 Lindsay Heights,Brown-Burns Apartments,2024-09-17
Atlanta,Georgia,Townhouse,1,1,4339.42,1094,Available,55,3.5,68164 Berry Key Apt. 500,King Ltd Apartments,2024-07-10
Miami,Florida,Condo,3,2,3782.38,987,Available,91,5.0,8548 Cruz Square Apt. 270,"Taylor, Davis and Dean Apartments",2024-09-03
Miami,Florida,House,1,3,2699.56,1652,Available,92,3.6,794 Todd Coves,Crawford Inc Apartments,2024-09-15
Albany,New York,Apartment,1,1,4166.04,985,Not Available,91,4.6,99364 Steven Pines Apt. 796,"Harding, Brown and Griffin Apartments",2024-08-12
